mae,shd,runtime
0.0008668014633336924,1,5.33332896232605
0.0008668014633336924,1,1.2408514022827148
0.0008664280960470555,1,1.1859214305877686
0.0178365444418529,0,1.1861011981964111
0.0008668014633336924,1,1.1369187831878662
0.0008668014633336924,1,1.111833095550537
0.0008664280960470555,1,1.2202503681182861
0.0008664280960474018,1,1.2186298370361328
0.000967145435654951,1,1.3507819175720215
0.000967145435654951,1,1.0778605937957764
0.000967145435654951,1,1.1654236316680908
0.000967145435654951,1,1.2543160915374756
0.000967145435654951,1,1.1148769855499268
0.01784349205555439,0,1.1912336349487305
0.000968365373867212,1,1.2416224479675293
0.000967145435654951,1,1.2422778606414795
0.0008668014633336924,1,1.1814615726470947
0.0178365444418529,0,1.1270160675048828
0.000967145435654951,1,1.2764995098114014
0.0178365444418529,0,1.2293763160705566
0.000967145435654951,1,1.2293763160705566
0.000967145435654951,1,1.2248151302337646
0.000967145435654951,1,1.2863526344299316
0.0008668014633336924,1,1.2361462116241455
0.000967145435654951,1,1.2870965003967285
0.0008664280960474017,1,1.2961721420288086
0.000968365373867212,1,1.2023108005523682
0.000967145435654951,1,1.193894386291504
0.01784349205555439,0,1.106266975402832
0.0008668014633336924,1,1.2392115592956543
0.0008664280960474018,1,1.251267671585083
0.0008664280960474017,1,1.0635097026824951
0.0008664280960470555,1,1.3040943145751953
0.0008668014633336924,1,1.1819651126861572
0.0178365444418529,0,1.0857632160186768
0.000967145435654951,1,1.2275581359863281
0.0008664280960474017,1,1.2824208736419678
0.000967145435654951,1,1.1890664100646973
0.000967145435654951,1,1.2208518981933594
0.0178365444418529,0,1.2390892505645752
0.000968365373867212,1,1.2773585319519043
0.000967145435654951,1,1.2928597927093506
0.0178365444418529,0,1.3105120658874512
0.0008668014633336924,1,1.3105120658874512
0.0008664280960470555,1,1.254230260848999
0.0008664280960470555,1,1.3233816623687744
0.000967145435654951,1,1.1728746891021729
0.000968365373867212,1,1.205862283706665
0.000967145435654951,1,1.20499849319458
0.0008664280960470555,1,1.1803832054138184
